64؛default؛0؛0؛0؛NULL؛default؛100؛158527
58؛AccountingGroup؛21139؛18381؛3؛ASYNC_NETWORK_IO؛AccountingPool؛20؛3645817
77؛SalesGroup؛22370؛17909؛0؛NULL؛SalesPool؛40؛96983
77؛SalesGroup؛24562؛18567؛8؛ASYNC_NETWORK_IO؛SalesPool؛40؛97641
